Местное время в Никеле,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,grad
-3.5,748.9,757.7,,100.0,"Ветер, дующий с юга",3,6.0,,"90  или более, но не 100%", ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-3.5,,,,,,,,180
-3.5,747.1,755.9,,93.0,"Ветер, дующий с юго-запада",2,4.0,,100%.,Ливневый снег или ливневый дождь и снег. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,2.2,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,-4.5,0.5,12.0,,,,,,225
-2.1,747.1,755.9,,88.0,"Ветер, дующий с юго-запада",1,2.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-3.9,,,,,,,,225
1.8,747.0,755.6,,75.0,"Ветер, дующий с юга",4,6.0,,40%., ,,,1.7,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-2.2,Осадков нет,12.0,,,Неровный слой слежавшегося или мокрого снега покрывает почву полностью.,55.0,,180
2.3,745.0,753.6,,69.0,"Ветер, дующий с юго-запада",5,9.0,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-2.8,,,,,,,,225
3.2,744.5,753.0,,65.0,"Ветер, дующий с юго-юго-запада",4,7.0,,20–30%., ,,,,4.3,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,-2.9,Осадков нет,12.0,,,,,,202
4.2,745.7,754.2,,81.0,"Ветер, дующий с юго-юго-запада",4,9.0,10.0,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,1.2,,,,,,,,202
-0.9,745.3,754.0,,90.0,"Ветер, дующий с юга",6,11.0,18.0,100%.,Ливневый снег или ливневый дождь и снег. ,Ливень (ливни).,Метель,-2.4,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,-2.4,0.9,12.0,,,Неровный слой слежавшегося или мокрого снега покрывает почву полностью.,56.0,,180
-2.4,749.2,757.9,,91.0,"Ветер, дующий с юга",6,9.0,11.0,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,4.0,-3.7,,,,,,,,180
-1.9,749.4,758.2,,83.0,"Ветер, дующий с юга",2,3.0,,"90  или более, но не 100%", ,,,,1.7,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-4.4,Осадков нет,12.0,,,,,,180
-0.3,746.5,755.1,,67.0,"Ветер, дующий с северо-северо-запада",7,10.0,13.0,"90  или более, но не 100%", ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-5.8,,,,,,,,318
1.6,737.6,746.2,,77.0,"Ветер, дующий с северо-запада",8,15.0,16.0,100%., ,,,1.5,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,-2.0,Осадков нет,12.0,,,Неровный слой слежавшегося или мокрого снега покрывает почву полностью.,56.0,,298
2.9,731.7,740.1,,85.0,"Ветер, дующий с юго-запада",5,9.0,13.0,70 – 80%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,0.6,,,,,,,,225
2.9,732.5,740.8,,81.0,"Ветер, дующий с юго-запада",7,14.0,16.0,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Буря,,2.9,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-0.1,0.6,12.0,,,,,,225
-4.4,736.4,745.1,,96.0,"Ветер, дующий с юга",11,19.0,20.0,100%.,Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,1.0,-4.9,,,,,,,,180
-7.9,745.3,754.0,,84.0,"Ветер, дующий с юга",11,18.0,20.0,"90  или более, но не 100%",Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ,Метель,Облака покрывали более половины неба в течение всего соответствующего периода.,-16.0,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-10.1,0.2,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,64.0,,180
-9.8,752.6,761.6,,78.0,"Ветер, дующий с юга",9,14.0,16.0,100%.,Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,-12.9,,,,,,,,180
-17.8,756.6,766.0,,89.0,"Штиль, безветрие",0,,,Облаков нет.,"Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем.  Диаметр изморозевого отложения составляет 35 мм.",Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,20.0,-19.2,,,,,,,,0
-17.8,756.6,766.0,,89.0,"Штиль, безветрие",0,36.0,,Облаков нет.,"Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ",Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,20.0,-19.2,,,,,,,,0
-13.3,754.4,763.6,,96.0,"Ветер, дующий с юго-юго-востока",1,1.0,,Облаков нет.,"Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем.  Диаметр изморозевого отложения составляет 33 мм.",Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,-16.6,,,,,,,20.0,-13.8,1.0,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,72.0,,112
-15.5,751.6,760.9,,91.0,"Штиль, безветрие",0,,,Облаков нет.,"Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем.  Диаметр изморозевого отложения составляет 29 мм.",Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,,,,,,50.0,-16.6,,,,,,,,0
-14.4,748.2,757.3,,94.0,"Штиль, безветрие",0,,,100%.,Ливневый снег слабый в срок наблюдения или за последний час.  Диаметр изморозевого отложения составляет 28 мм.,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,-14.1,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,-15.2,1.0,12.0,,,,,,0
-17.5,746.3,755.5,,90.0,"Штиль, безветрие",0,,,"90  или более, но не 100%","Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем.  Диаметр изморозевого отложения составляет 25 мм.",Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,-18.8,,,,,,,,0
-16.5,745.3,754.6,,91.0,"Штиль, безветрие",0,,,"90  или более, но не 100%","Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем.  Диаметр изморозевого отложения составляет 22 мм.",Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,-17.0,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,-17.7,Осадков нет,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,70.0,,0
-13.9,745.8,754.9,,95.0,"Ветер, дующий с юга",1,2.0,,20–30%.,"Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем.  Диаметр изморозевого отложения составляет 4 мм.",Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,-14.5,,,,,,,,180
-8.1,746.1,755.0,,94.0,"Ветер, дующий с юго-юго-запада",2,3.0,,50%., ,,,,-5.2,"Слоисто-кучевые, образовавшиеся не из кучевых.",50%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-8.9,Осадков нет,12.0,,,,,,202
-5.5,746.2,755.0,,91.0,"Ветер, дующий с западо-юго-запада",2,4.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-6.8,,,,,,,,248
-5.7,745.3,754.0,,85.0,"Ветер, дующий с юго-юго-запада",1,3.0,,20–30%.,Облака в целом рассеиваются или становятся менее развитыми. ,Ливень (ливни).,Метель,-6.6,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-7.9,2.0,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,70.0,,202
-4.8,743.0,751.7,,96.0,"Ветер, дующий с западо-северо-запада",3,5.0,11.0,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,-5.3,,,,,,,,292
-4.6,744.0,752.8,,96.0,"Ветер, дующий с запада",4,8.0,,100%.,Ливневый снег или ливневый дождь и снег. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,-3.4,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,-5.2,0.5,12.0,,,,,,270
-4.9,744.6,753.4,,85.0,"Ветер, дующий с западо-северо-запада",5,8.0,11.0,100%.,Облака в целом образовывались или развивались. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,-7.1,,,,,,,,292
-4.2,740.9,749.6,,100.0,"Ветер, дующий с запада",7,11.0,15.0,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,-4.9,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,2.0,-4.2,2.0,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,68.0,,270
-4.4,738.8,747.5,,91.0,"Ветер, дующий с запада",7,10.0,13.0,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,-5.7,,,,,,,,270
-4.9,736.0,744.7,,100.0,"Ветер, дующий с запада",7,10.0,14.0,100%.,Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,-4.9,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,1.0,-4.9,2.0,12.0,,,,,,270
-6.2,734.8,743.5,,84.0,"Ветер, дующий с запада",6,10.0,13.0,20–30%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-8.5,,,,,,,,270
-7.6,735.1,743.8,,79.0,"Ветер, дующий с западо-юго-запада",5,8.0,10.0,Облаков нет., ,,,-7.9,,,,,,,50.0,-10.6,0.4,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,58.0,,248
-7.2,736.5,745.3,,79.0,"Ветер, дующий с западо-юго-запада",5,8.0,11.0,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-10.3,,,,,,,,248
-5.6,731.8,740.5,,90.0,"Ветер, дующий с юго-юго-запада",2,4.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Метель,,-2.9,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-7.0,0.6,12.0,,,,,,202
-4.2,727.2,735.7,,96.0,"Ветер, дующий с юго-юго-востока",6,12.0,13.0,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,2.0,-4.7,,,,,,,,112
-2.9,735.1,743.6,,81.0,"Ветер, дующий с юго-запада",2,4.0,,60%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,-5.6,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-5.7,2.0,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,57.0,,225
-4.1,730.3,739.0,,100.0,"Ветер, дующий с северо-северо-запада",4,5.0,15.0,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,4.0,-4.1,,,,,,,,318
-5.6,736.1,744.8,,93.0,"Ветер, дующий с юго-юго-востока",8,14.0,17.0,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,-3.0,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,2.0,-6.5,0.5,12.0,,,,,,112
-4.2,746.6,755.4,,82.0,"Ветер, дующий с юга",4,6.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-6.8,,,,,,,,180
-3.6,746.5,755.3,,76.0,"Ветер, дующий с юго-юго-запада",4,7.0,10.0,20–30%., ,,,-3.9,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-7.2,Следы осадков,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,56.0,,202
-3.7,746.0,754.8,,84.0,"Ветер, дующий с юго-юго-запада",3,7.0,,Облаков нет.,Облака в целом рассеиваются или становятся менее развитыми. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,,,,,,50.0,-6.0,,,,,,,,202
-3.4,745.0,753.7,,88.0,"Ветер, дующий с юго-юго-запада",6,10.0,11.0,100%.,Состояние неба в общем не изменилось. ,Метель,Облака покрывали более половины неба в течение всего соответствующего периода.,,-3.4,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,-5.1,0.5,12.0,,,,,,202
-3.8,748.6,757.3,,86.0,"Ветер, дующий с юго-юго-запада",6,10.0,13.0,"90  или более, но не 100%",Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ,Ливень (ливни).,Метель,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-5.9,,,,,,,,202
-5.3,750.6,759.4,,87.0,"Ветер, дующий с юга",9,15.0,21.0,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,2.0,-7.2,Следы осадков,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,51.0,,180
-5.1,753.3,762.1,,83.0,"Ветер, дующий с юго-юго-запада",8,16.0,18.0,Облаков нет.,Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ,Метель,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,50.0,-7.5,,,,,,,,202
-6.2,755.4,764.4,,99.0,"Ветер, дующий с юга",4,7.0,,Облаков нет.,"Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем.  Диаметр изморозевого отложения составляет 1 мм.",Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,-2.8,,,,,,50.0,-6.3,Осадков нет,12.0,,,,,,180
-4.7,755.7,764.6,,95.0,"Ветер, дующий с юга",2,3.0,,"10%  или менее, но не 0", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-5.4,,,,,,,,180
-3.8,752.8,761.7,,98.0,"Ветер, дующий с юго-востока",1,1.0,,"10%  или менее, но не 0",Облака в целом рассеиваются или становятся менее развитыми. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,-6.3,,"Слоисто-кучевые, образовавшиеся не из кучевых.","10%  или менее, но не 0",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-4.1,0.7,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,58.0,,135
-3.7,749.2,757.9,,99.0,"Ветер, дующий с юго-юго-запада",1,1.0,,"90  или более, но не 100%",Ливневый снег или ливневый дождь и снег. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-3.9,,,,,,,,202
-5.6,745.9,754.6,,96.0,"Ветер, дующий с западо-юго-запада",1,3.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,-5.4,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-6.2,0.2,12.0,,,,,,248
-5.5,742.6,751.4,,87.0,"Ветер, дующий с юга",2,4.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,50.0,-7.4,,,,,,,,180
-6.8,739.9,748.6,,91.0,"Ветер, дующий с юга",3,6.0,,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,-9.1,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,10.0,-8.0,0.6,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,58.0,,180
-7.7,738.4,747.1,,88.0,"Ветер, дующий с юго-юго-востока",6,11.0,11.0,100%.,Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,-9.4,,,,,,,,112
-8.4,737.3,746.2,,88.0,"Ветер, дующий с юга",6,11.0,13.0,"90  или более, но не 100%",Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ,Метель,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,-7.4,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-10.1,Осадков нет,12.0,,,,,,180
-7.8,735.9,744.7,,84.0,"Ветер, дующий с юга",6,9.0,12.0,40%.,Облака в целом рассеиваются или становятся менее развитыми. ,Метель,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-10.0,,,,,,,,180
-7.4,734.2,742.9,,86.0,"Ветер, дующий с юга",4,7.0,12.0,"90  или более, но не 100%",Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ,Ливень (ливни).,Метель,-7.7,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-9.4,0.4,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,59.0,,180
-7.0,732.8,741.5,,87.0,"Ветер, дующий с юга",4,8.0,10.0,"90  или более, но не 100%",Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,-8.8,,,,,,,,180
-5.9,732.4,741.1,,87.0,"Ветер, дующий с юга",4,7.0,,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,-4.4,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,-7.8,0.7,12.0,,,,,,180
-5.4,733.0,741.7,,85.0,"Ветер, дующий с юго-юго-востока",5,9.0,11.0,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Метель,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,-7.5,,,,,,,,112
-4.5,733.8,742.4,,87.0,"Ветер, дующий с юга",5,9.0,13.0,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Метель,-7.0,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,-6.3,Следы осадков,12.0,,,Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.,58.0,,180
